Time,RtAeroFxi,RtAeroFyi,RtAeroFzi,RtAeroMxi,RtAeroMyi,RtAeroMzi
4.70000007,1152037.0212138,5647.628232595204,-169908.14000957398,9819287.050481828,-962272.0616591751,-1150549.4973290553
4.75000007,1152028.6092673908,5622.799013667664,-169900.81458350422,9835800.144317605,-961822.9327298541,-1153979.7743150112
4.80000007,1152045.0484118457,5671.321804565841,-169915.13038290414,9803529.237946618,-962700.6481822558,-1147276.115476684
4.85000007,1152050.9532146181,5688.7507839758955,-169920.27249794663,9791937.79911401,-963015.9162091897,-1144868.2174621113
4.90000007,1152053.0270882137,5694.872156964751,-169922.0785018087,9787866.676020538,-963126.6440457955,-1144022.520102585
4.95000007,1152075.3071009947,5760.635214425548,-169941.48073983146,9744129.837501902,-964316.213950207,-1134937.0348445831
5.00000007,1152075.982979425,5762.630178812781,-169942.0693191248,9742803.052546581,-964352.3003136922,-1134661.4208413677
5.05000008,1152083.9884854266,5786.259723210168,-169949.04080224116,9727087.822636634,-964779.7286595661,-1131396.8847086958
5.10000008,1152078.26806503,5769.374978172641,-169944.05925401603,9738317.309154578,-964474.305138887,-1133729.5941058374
5.15000008,1152071.8512158454,5750.434611046922,-169938.47123050556,9750913.922062289,-964131.6980342114,-1136346.297661697
5.20000008,1152087.601923318,5796.925368962844,-169952.1875141726,9719994.453745447,-964972.6565994823,-1129923.3740327244
5.25000008,1152080.5308877476,5776.05406502313,-169946.0298015826,9733875.268983224,-964595.121308528,-1132806.8458721014
5.30000008,1152067.4802689364,5737.533055039303,-169934.66485242356,9759494.3210512,-963898.3253271122,-1138128.7101807985
5.35000008,1152076.0880145866,5762.940207062144,-169942.1607875285,9742596.862992717,-964357.9083296391,-1134618.5889354635
5.40000008,1152070.2368710814,5745.669611649047,-169937.06540090966,9754082.965857591,-964045.5052673738,-1137004.605432889
5.45000008,1152056.7598323482,5705.8899543702355,-169925.32910991606,9780539.10269045,-963325.941960347,-1142500.3579682764
5.50000008,1152052.072067425,5692.053258806104,-169921.2468352903,9789741.432127167,-963075.6537703644,-1144411.9645513846
5.55000008,1152062.6834729486,5723.3745366728435,-169930.48762961788,9768910.68420959,-963642.2157727497,-1140084.7781444923
5.60000008,1152044.573470246,5669.9199376991355,-169914.71678664396,9804461.57332063,-962675.290197104,-1147469.7901816461
5.65000008,1152036.3230724821,5645.567555698601,-169907.53204295595,9820657.538657801,-962234.7866401362,-1150834.1898340648
5.70000008,1152040.9743034362,5659.296415349906,-169911.58250248476,9811526.92732678,-962483.1242158763,-1148937.4813051848
5.75000009,1152041.7392334165,5661.554229774639,-169912.2486310769,9810025.329488838,-962523.9652015773,-1148625.5532947902
5.80000009,1152051.9773074423,5691.773559407227,-169921.16431488266,9789927.450963803,-963070.5943646731,-1144450.606379537
5.85000009,1152036.4372411359,5645.904542926175,-169907.6314651339,9820433.41957751,-962240.8823096438,-1150787.6334146026
5.90000009,1152026.0667314716,5615.294308109615,-169898.60045160173,9840791.276235672,-961687.1821699194,-1155016.58577643
5.95000009,1152034.0522579588,5638.864879742179,-169905.55453583694,9825115.267164774,-962113.5437736296,-1151760.1970171635
6.00000009,1152017.4235935388,5589.782690046232,-169891.07369562166,9857758.211209042,-961225.7095098452,-1158541.1395117976
6.05000009,1152034.9416317716,5641.490010244971,-169906.32903460303,9823369.379529312,-962161.0290390939,-1151397.5225095546
6.10000009,1152035.0883384917,5641.923038832409,-169906.45679210167,9823081.386511136,-962168.8619744113,-1151337.6975105451
6.15000009,1152028.520215841,5622.536163630154,-169900.73703420543,9835974.957200233,-961818.1781076381,-1154016.088322192
6.20000009,1152025.2943805289,5613.014589515087,-169897.92786056804,9842307.441813836,-961645.9449657004,-1155331.53995409
6.25000009,1152020.785860392,5599.706963898241,-169894.00167876165,9851157.904294498,-961405.2269768445,-1157170.0529586435
6.30000009,1152021.7072014278,5602.426450824755,-169894.80401573752,9849349.263316553,-961454.419029771,-1156794.342653585
6.35000009,1152009.3929704332,5566.079008458778,-169884.08033962615,9873522.747316653,-960796.9401166795,-1161815.9180567514
6.4000001,1152004.7891194704,5552.489998506911,-169880.07114030118,9882560.349229356,-960551.1322437848,-1163693.3056715552
6.4500001,1152027.6297003415,5619.907663255082,-169899.96154121758,9837723.0860265,-961770.6318854786,-1154379.228393996
6.5000001,1152031.8767742615,5632.443588120792,-169903.66004623653,9829385.856239699,-961997.3907911621,-1152647.32959001
6.5500001,1152010.6608133332,5569.821251620966,-169885.18442291205,9871033.904930035,-960864.6325265615,-1161298.9090186271
6.6000001,1152020.9308545822,5600.134937677258,-169894.12794492763,9850873.273062529,-961412.9684771191,-1157110.9263059269
6.6500001,1152033.2228226892,5636.416667533873,-169904.83223371432,9826743.492283078,-962069.2587346568,-1152098.4294045535
6.7000001,1152040.6974444508,5658.479221323047,-169911.3414037033,9812070.41609648,-962468.3422173205,-1149050.3806223795
6.7500001,1152047.4014277996,5678.267111326109,-169917.17947399127,9798910.14370184,-962826.2799308078,-1146316.5876715733
6.8000001,1152042.6560077062,5664.260237212055,-169913.04699116567,9808225.653274102,-962572.9134277237,-1148251.7052465095
6.8500001,1152055.892721423,5703.330536376823,-169924.5739984747,9782241.287105255,-963279.6453504367,-1142853.9539740898
6.9000001,1152037.9402714625,5650.34097977717,-169908.9403581063,9817482.891885487,-962321.1317987116,-1150174.7181523857
6.9500001,1152036.966412846,5647.466478725978,-169908.0922869286,9819394.627640361,-962269.1357378117,-1150571.8444103957
7.0000001,1152046.1592728468,5674.600690290122,-169916.0977606954,9801348.559295395,-962759.9590465649,-1146823.121515319
7.05000011,1152047.0954558076,5677.363985556216,-169916.91302255442,9799510.782837017,-962809.9435365273,-1146441.3588757312
7.10000011,1152068.4695403213,5740.453049366221,-169935.5263455953,9757552.329220485,-963951.1443033958,-1137725.2988061602
7.15000011,1152050.4577226609,5687.288259408232,-169919.8410056944,9792910.475922467,-962989.4610035267,-1145070.272322576
7.20000011,1152046.5286084416,5675.690843971318,-169916.41939144098,9800623.534070658,-962779.678537422,-1146672.51149836
7.25000011,1152054.0192138148,5697.800575972359,-169922.9424805349,9785919.081212815,-963179.6154138168,-1143617.9448174604
7.30000011,1152061.3288618717,5719.376183217698,-169929.30798547677,9771569.857097233,-963569.890654042,-1140637.1700614078
7.35000011,1152060.8967335173,5718.100686561336,-169928.9316725333,9772418.14781613,-963546.8185449557,-1140813.3861090713
7.40000011,1152053.3273517732,5695.75843337327,-169922.33998213665,9787277.242839374,-963142.6756566006,-1143900.0767193998
7.45000011,1152056.649088754,5705.563076759491,-169925.23267040346,9780756.498198332,-963320.0291609247,-1142545.5176951545
7.50000011,1152035.868110397,5644.224661596728,-169907.1358455769,9821550.653192755,-962210.4953971483,-1151019.71716562
7.55000011,1152018.4790827427,5592.898136965139,-169891.99285365661,9855686.23031176,-961282.0639744431,-1158110.725413872
7.60000011,1152031.7409135634,5632.042573319979,-169903.5417338448,9829652.557945244,-961990.136944448,-1152702.7317291698
7.65000011,1152045.9954408286,5674.117113618552,-169915.95508987005,9801670.170175614,-962751.2117608214,-1146889.9299772475
7.70000011,1152054.3326067694,5698.725605912048,-169923.2153944133,9785303.874337416,-963196.3480266152,-1143490.1474460368
7.75000012,1152046.7706459877,5676.405256893773,-169916.6301664582,9800148.401620442,-962792.6013567782,-1146573.8118891004
7.80000012,1152047.249012647,5677.817233377297,-169917.04674538373,9799209.342674028,-962818.142212015,-1146378.7404915555
7.85000012,1152059.632315677,5714.368553015966,-169927.83057191275,9774900.266630346,-963479.3090051587,-1141328.998454613
7.90000012,1152054.20873378,5698.3599747701255,-169923.10752135026,9785547.043539535,-963189.7342251993,-1143540.661161154
7.95000012,1152072.6241376314,5752.716014577591,-169939.14431865013,9749396.635888722,-964172.965716778,-1136031.1107019393
8.00000012,1152052.1645440345,5692.326218460436,-169921.32736725445,9789559.895672133,-963080.5912626655,-1144374.2538516207
8.05000012,1152043.2622432576,5666.049639390471,-169913.57492293045,9807035.580957757,-962605.2814328092,-1148004.490659166
8.10000012,1152018.3386552986,5592.483642675221,-169891.87056437775,9855961.89678052,-961274.5663009487,-1158167.9898098109
8.15000012,1152022.2095435043,5603.909194626075,-169895.24147332044,9848363.139363278,-961481.2399756046,-1156589.4944079523
8.20000012,1152051.0474037575,5689.0287984386405,-169920.3545212434,9791752.90087277,-963020.9451365335,-1144829.8084160555
8.25000012,1152045.7231485895,5673.313399080791,-169915.7179679757,9802204.694182107,-962736.6735890458,-1147000.9670376643
8.30000012,1152045.7950748412,5673.525701034165,-169915.78060394782,9802063.499161521,-962740.5138608356,-1146971.6364934028
8.35000012,1152032.1593416794,5633.277631509027,-169903.9061161269,9828831.161515985,-962012.4775731933,-1152532.1024518425
8.40000013,1152020.3057812029,5598.289932606304,-169893.58360850345,9852100.325027114,-961379.5946865651,-1157365.8227024802
8.45000013,1152012.0359747678,5573.88026277708,-169886.3819630452,9868334.390607936,-960938.0548657809,-1160738.1369462076
8.50000013,1151999.8090827935,5537.790615640192,-169875.73434489995,9892336.423511617,-960285.2391398626,-1165724.0966884862
8.55000013,1151992.7957023932,5517.089490250402,-169869.6268405098,9906104.058613848,-959910.7821620096,-1168584.057536035
8.60000013,1152022.8180624289,5605.70533654904,-169895.7713935288,9847168.584665328,-961513.7298940802,-1156341.3486922197
8.65000013,1152024.4843539305,5610.6236651354575,-169897.22246021565,9843897.566688495,-961602.6961905438,-1155661.857750173
8.70000013,1152020.5067180335,5598.883030126828,-169893.7585915366,9851705.875445805,-961390.3230648984,-1157283.8834042277
8.75000013,1152035.1128847522,5641.995491086333,-169906.4781678699,9823033.200908877,-962170.1725433554,-1151327.6878803615
8.80000013,1152023.0252785354,5606.316968367087,-169895.95184478172,9846761.8085346,-961524.7935342366,-1156256.848790896
8.85000013,1152025.0357885282,5612.251313444636,-169897.70266933503,9842815.071530692,-961632.1382742656,-1155436.9902441713
8.90000013,1152027.1313541678,5618.43671400673,-169899.52756341093,9838701.365811966,-961744.0242880778,-1154582.4471649474
8.95000013,1152005.068261829,5553.313932278324,-169880.31422752622,9882012.378078049,-960566.036155731,-1163579.475225971
9.00000013,1152002.8722277738,5546.831982955962,-169878.40184193375,9886323.308587432,-960448.7859527519,-1164474.9879543222
9.05000013,1152003.2067419293,5547.81935553275,-169878.6931489151,9885666.639682183,-960466.6462644092,-1164338.5776452988
9.10000014,1151995.4678197342,5524.976676311746,-169871.9538165842,9900858.55153965,-960053.4513068355,-1167494.404538527
9.15000014,1151978.1935315772,5473.988823843868,-169856.9107439527,9934768.888982965,-959131.1460319855,-1174538.6235852195
9.20000014,1151975.7177843205,5466.681255813954,-169854.75477402433,9939628.91123906,-958998.9614387128,-1175548.1995412523
9.25000014,1151983.279174259,5488.999919896089,-169861.33950486855,9924785.504551439,-959402.6776302023,-1172464.7678802866
9.30000014,1151983.5645958933,5489.842387965029,-169861.58806031337,9924225.206850708,-959417.9168039714,-1172348.3768316307
9.35000014,1151974.2655590447,5462.394778279235,-169853.49012392107,9942479.705940347,-958921.424522576,-1176140.397196808
9.40000014,1151971.9228182696,5455.4798003694395,-169851.44998083,9947078.629467906,-958796.3413842795,-1177095.734924168
9.45000014,1151962.6717322553,5428.173725319229,-169843.39380175242,9965238.998543825,-958302.4092840774,-1180868.201593171
9.50000014,1151944.6582020652,5375.003880552823,-169827.70697051883,10000600.507032014,-957340.6345491656,-1188213.8734558793
9.55000014,1151940.646315572,5363.162149375925,-169824.21327518643,10008476.05151341,-957126.432722668,-1189849.866035772
9.60000014,1151965.172596616,5435.555430539211,-169845.57164455994,9960329.670090064,-958435.9349246417,-1179848.3832248563
9.65000014,1151962.3634768901,5427.263859804786,-169843.12536187202,9965844.120060606,-958285.9509764068,-1180993.903925718
9.70000014,1151940.2821175666,5362.087160119968,-169823.89611843883,10009190.991379535,-957106.9875369387,-1189998.3810138558
9.750000150000002,1151935.086302134,5346.750871393138,-169819.3714151213,10019390.650723543,-956829.573617647,-1192117.1636635696
