Wind1VelX,GenPwr,RtAeroFxi,RtAeroFyi,RtAeroFzi,RtAeroMxi,RtAeroMyi,RtAeroMzi,PtfmSurge,PtfmSway,PtfmHeave,PtfmPitch,PtfmRoll,PtfmYaw
3.0,145.85395414483384,165890.52646927835,103.6815711966306,-13023.693907868847,279833.2158784142,-232464.52900935538,-203700.38790397818,6.467115369530686,0.04443726457949897,-0.13635907688497673,-1.1261252174092902,0.017233217739152446,-0.3378927198517965
4.0,507.1326053670955,250115.4010969025,62.430647952966176,-20953.64529004178,1011818.3970313033,-230017.40317220314,-212636.44967145467,8.246660117426208,0.02377902864371046,-0.1408107227865364,-0.802432052464428,0.0374709834491548,-0.31582304108013015
5.0000001685899695,1061.4073751209235,375971.4186914987,625.7567715856645,-35112.45215578396,2139874.168220253,-234006.29163083847,-187646.8514718549,9.724311287032467,0.027814219657706897,-0.1484125328500697,-0.32030356034221164,0.0692105738696371,-0.19309166251870996
6.0,1848.6585010877625,541909.3045147288,2610.149362838817,-57673.61665387092,3545199.6834580945,-274031.8038914124,-142432.87350386052,10.857715514794531,0.08394774195544591,-0.1596005524277394,0.31117804298353774,0.10927135978642485,-0.008238005346865007
7.0,2938.834856546497,738827.6097701169,5454.2694311207815,-89249.60703814503,4833685.724635155,-450052.2262534695,-177755.61064028193,11.80600637682274,0.15092890575315956,-0.17404220783505994,1.0517325221631875,0.14291732545453412,0.08854020654562281
8.0,4381.632391783812,964857.0336812322,9915.5691229591,-131985.78964366423,6316763.274160795,-708321.2788962506,-231771.5105726957,12.726497259860512,0.2571199250375618,-0.1922082175070647,1.8918489962145273,0.17974759998503448,0.18633933857588833
8.500000084294983,5250.313519668833,1088178.1374174156,12795.460800140112,-158111.16501973502,7129625.015035728,-872185.9490114236,-272695.3968034289,13.189903020523305,0.31649615722254804,-0.20275118669838216,2.3452713019871596,0.19932505285616822,0.2320298309671688
9.000000168589967,6186.707978056302,1160533.1638699083,13174.115896246845,-174025.04598599524,7932029.346463276,-975083.3769677595,-433078.3175438323,13.458114013084497,0.30797443130210617,-0.2091711366271733,2.6091609283138646,0.2198372794325319,0.19365927107876738
9.500000252884956,6982.356824589019,1157941.5353008455,9718.187853788027,-172446.6480110585,8464319.200436782,-991870.2001741352,-724783.0876443646,13.449163818630625,0.20681567116170516,-0.20884520028926196,2.598625069178299,0.23470515179050963,0.04260496679819664
10.000000337179939,7667.132279258992,1152790.6509785575,6813.814169304242,-170298.18600571287,8927295.700132294,-996480.3153288856,-971487.4624826098,13.430328419493764,0.12051338583147439,-0.20828358108918027,2.5790067049192995,0.24763064627850395,-0.0871068812261079
10.5,8341.630645867499,1152095.3428199815,5819.773876145944,-169958.9285659416,9704798.665902784,-965385.9569774634,-1126766.741978274,13.427952707444813,0.08554568678105352,-0.20826865187839727,2.5764719050674314,0.27079528040504197,-0.13565454909765645
11.0,8984.29609689941,1151721.6412966615,4716.733451857874,-169633.49581255217,10438394.43804849,-945433.3613600149,-1279157.124980519,13.426216337279433,0.0491011180682418,-0.2081044837471218,2.575879431585685,0.29246679509465034,-0.19071076783566931
11.50000059006489,9610.028346384212,1152569.977083832,3609.989879992612,-169473.18232355392,11153064.494606934,-931291.5471942724,-1435076.7684938638,13.42893312692192,0.011438822001415232,-0.20806916979095355,2.5794392791405683,0.31346857492635605,-0.24623227060003197
12.0,9999.949575569854,1124293.5816654004,1039.1886573052882,-162322.09896643794,11560376.776817936,-906681.2687259999,-1614417.2475000587,13.322052179076001,-0.06613951654809751,-0.2053497869252995,2.4760022311458747,0.32567721215476386,-0.3646496595323847
12.5,10000.46412721476,1056234.2143713457,-3115.060774607555,-146185.63780223526,11530071.262408528,-875105.1047098953,-1805418.2042653332,13.06851266063013,-0.18957708029449205,-0.1991810191216724,2.2257722736864824,0.3247194400312769,-0.5755204590933696
13.0,10000.366446443632,1000260.2562943455,-6570.543699424367,-133176.67905302785,11503775.522704832,-865661.4348622246,-1979922.449597662,12.855172222480562,-0.295435215526718,-0.19417858236834415,2.0189941822568174,0.32311710139427247,-0.7826840985627046
13.5,10000.200945697883,952714.9975728979,-9581.908126417655,-122253.456477241,11479247.657347377,-873982.0445217825,-2149468.8253026046,12.669520963170196,-0.393191605600501,-0.1899922624682759,1.842471842983901,0.32118243423090903,-0.991582380202002
14.0,10000.033978439962,911505.362993006,-12259.81880791516,-112835.61836138928,11455754.38962287,-897807.3926221976,-2316616.6412435523,12.504937223442061,-0.4829040375921345,-0.18638860643457147,1.6888413750316944,0.31881637546242003,-1.2043123623478575
15.0,9999.598366417655,842995.6157887377,-16853.63870532264,-97151.68534930857,11410453.714481626,-984644.682312589,-2651929.969383569,12.223340405188099,-0.6434646244196556,-0.18045772523087772,1.4319972477117602,0.3128812524852807,-1.6450319403069915
16.0,9998.870495363124,787870.9947158162,-20627.8657331949,-84307.14046053677,11362657.713312676,-1119517.5683429746,-2996761.286780507,11.982967787011104,-0.7848786396963447,-0.17567477733816136,1.2232726277529438,0.3052182134479499,-2.110496212668911
17.000000168589967,9998.535139153057,742264.1675647288,-23691.28201860244,-73329.2474525862,11310493.727971101,-1303330.9515191223,-3355330.8290554923,11.77079905895946,-0.9054621678257228,-0.17167430164862268,1.0484869892490924,0.29555546591508813,-2.6046985875233926
18.000000337179934,9998.3500872956,703834.6095075872,-26120.312583182687,-63670.991984368,11251887.658225901,-1539801.8198435665,-3735118.950269572,11.57813796447673,-1.0100160344045337,-0.16826024617256222,0.8988449504949036,0.2836273704069684,-3.133504612658173
19.00000050576991,9998.49258532702,671023.413288779,-27908.684416259322,-54849.21792108498,11182732.328370033,-1838010.1298697593,-4146709.4468372273,11.398759032278093,-1.0948249743765486,-0.1652602158081742,0.7682032050994688,0.2686110745322189,-3.708230440819118
21.0,9999.783939033774,618263.4730989051,-29101.02618472611,-38597.21158275613,10999914.015518907,-2657371.7939635105,-5083337.682004367,11.082605224307795,-1.19503626684857,-0.16024436541075998,0.5475544137297191,0.2264905637483337,-5.0157592283004595
23.00000118012978,10000.701806310768,578163.7788621909,-26214.339605602087,-23641.807191867814,10730052.789751185,-3823058.7655813457,-6181766.592860698,10.804204041750051,-1.1821770069089776,-0.15628542613616575,0.36068583228711304,0.16528678214412038,-6.533004143094856
25.0,10001.047774462639,546899.3603521317,-17759.228858073275,-9386.257944670911,10326325.241819382,-5383657.69682311,-7468314.038089335,10.534308251486086,-1.030510267866481,-0.1530564895011729,0.18752615999534455,0.08149874392146124,-8.242303925345384
