# Time(s),U_avg(m/s)
4.500000069999999575e+00,1.053423629536611905e+01
4.550000070000000285e+00,1.054109875972615029e+01
4.600000070000000107e+00,1.055243920166468463e+01
4.650000069999999930e+00,1.055574403007713435e+01
4.700000069999999752e+00,1.057803233669420706e+01
4.750000069999999575e+00,1.058928723650604908e+01
4.800000070000000285e+00,1.056729221718048883e+01
4.850000070000000107e+00,1.055939179076533740e+01
4.900000069999999930e+00,1.055661701803077968e+01
4.950000069999999752e+00,1.052680711441675676e+01
5.000000069999999575e+00,1.052590281193458921e+01
5.050000080000000224e+00,1.051519171564242860e+01
5.100000080000000047e+00,1.052284544467435623e+01
5.150000079999999869e+00,1.053143097187203026e+01
5.200000079999999691e+00,1.051035705794637920e+01
5.250000080000000402e+00,1.051981786440466671e+01
5.300000080000000224e+00,1.053727915101557500e+01
5.350000080000000047e+00,1.052576227844073919e+01
5.400000079999999869e+00,1.053359091057099128e+01
5.450000079999999691e+00,1.055162273261617401e+01
5.500000080000000402e+00,1.055789480354823517e+01
5.550000080000000224e+00,1.054369710182440478e+01
5.600000080000000047e+00,1.056792767297877056e+01
5.650000079999999869e+00,1.057896642616691985e+01
5.700000079999999691e+00,1.057274323645011194e+01
5.750000090000000341e+00,1.057171978600576701e+01
5.800000090000000164e+00,1.055802158920029399e+01
5.850000089999999986e+00,1.057881367236925563e+01
5.900000089999999808e+00,1.059268906358001594e+01
5.950000089999999631e+00,1.058200469920244657e+01
6.000000090000000341e+00,1.060425328983212623e+01
6.050000090000000164e+00,1.058081474711864800e+01
6.100000089999999986e+00,1.058061845848864913e+01
6.150000089999999808e+00,1.058940638446822646e+01
6.200000089999999631e+00,1.059372244302120869e+01
6.250000090000000341e+00,1.059975469049093988e+01
6.300000090000000164e+00,1.059852196734379426e+01
6.350000089999999986e+00,1.061499799195977367e+01
6.400000099999999748e+00,1.062115778885055306e+01
6.450000099999999570e+00,1.059059786409000381e+01
6.500000100000000280e+00,1.058491542281692155e+01
6.550000100000000103e+00,1.061330166103672212e+01
6.600000099999999925e+00,1.059956069316790739e+01
6.650000099999999748e+00,1.058311445554246966e+01
6.700000099999999570e+00,1.057311366440944411e+01
