Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,1.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396046,0.0,0.0,0.0,0.0,0.419541,0.419541,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22738e-06,7.22738e-06,7.22738e-06,7.22738e-06,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.0,0.05,0.025,7.22738e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614770.0,0.0,0.0,0.0,0.0,0.418869,0.418869,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.22738e-06,7.22738e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17678e-05,4.17678e-05,4.17678e-05,4.17678e-05,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,1.0,0.075,0.025,4.17678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607370.0,0.0,0.0,0.0,0.0,0.418196,0.418196,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,4.17678e-05,4.17678e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126338,0.000126338,0.000126338,0.000126338,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.0,0.1,0.025,0.000126338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599960.0,0.0,0.0,0.0,0.0,0.417524,0.417524,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.000126338,0.000126338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000278034,0.000278034,0.000278034,0.000278034,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.0,0.125,0.025,0.000278034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4592550.0,0.0,0.0,0.0,0.0,0.416852,0.416852,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.000278034,0.000278034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000509069,0.000509069,0.000509069,0.000509069,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,1.0,0.15,0.025,0.000509069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585140.0,0.0,0.0,0.0,0.0,0.416179,0.416179,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.000509069,0.000509069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000827478,0.000827478,0.000827478,0.000827478,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.175,1.0,0.175,0.025,0.000827478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4577730.0,0.0,0.0,0.0,0.0,0.415506,0.415506,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.000827478,0.000827478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00123777,0.00123777,0.00123777,0.00123777,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.2,0.025,0.00123777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570310.0,0.0,0.0,0.0,0.0,0.414833,0.414833,0.0,11670800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00123777,0.00123777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174152,0.00174152,0.00174152,0.00174152,0.0,11558300.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.225,1.0,0.225,0.025,0.00174152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519050.0,0.0,0.0,0.0,0.0,0.414172,0.414172,0.0,11558300.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00174152,0.00174152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00233794,0.00233794,0.00233794,0.00233794,0.0,11445800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1.0,0.25,0.025,0.00233794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4468060.0,0.0,0.0,0.0,0.0,0.413524,0.413524,0.0,11445800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00233794,0.00233794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00302433,0.00302433,0.00302433,0.00302433,0.0,11333300.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.275,1.0,0.275,0.025,0.00302433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4417340.0,0.0,0.0,0.0,0.0,0.412888,0.412888,0.0,11333300.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00302433,0.00302433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00379657,0.00379657,0.00379657,0.00379657,0.0,11220800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1.0,0.3,0.025,0.00379657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366880.0,0.0,0.0,0.0,0.0,0.412264,0.412264,0.0,11220800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00379657,0.00379657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00464944,0.00464944,0.00464944,0.00464944,0.0,11108300.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.325,1.0,0.325,0.025,0.00464944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316690.0,0.0,0.0,0.0,0.0,0.411653,0.411653,0.0,11108300.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00464944,0.00464944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557699,0.00557699,0.00557699,0.00557699,0.0,10995800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,1.0,0.35,0.025,0.00557699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4266760.0,0.0,0.0,0.0,0.0,0.411054,0.411054,0.0,10995800.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00557699,0.00557699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00657279,0.00657279,0.00657279,0.00657279,0.0,10883300.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.375,1.0,0.375,0.025,0.00657279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4217080.0,0.0,0.0,0.0,0.0,0.410467,0.410467,0.0,10883300.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.00657279,0.00657279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00763019,0.00763019,0.00763019,0.00763019,0.0,10770800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
